[INFO ] 2018-11-08 16:25:33,487 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:33,493 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:33,493 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:34,933 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:34,933 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:34,933 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:35,023 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:35,027 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:35,027 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:36,353 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:36,354 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:36,354 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:36,443 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:36,443 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:36,443 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:37,707 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:37,713 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:37,713 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:37,797 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:37,803 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:37,803 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:39,153 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:39,153 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:39,153 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:39,243 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:39,253 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:39,257 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:40,313 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:40,313 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:40,317 - HikariPool: db - Closed.
